ÁREA;PROCESO;COMPONENTE;VALORACIÓN
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Enfoque metodológico";"2"
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Jornada escolar";"1"
"";"";"";""
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Servicios de transporte, restaurante, cafetería y salud (enfermería, odontología, psicología)";"2"
"";"";"";""
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Evaluación del desempeño";"3"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Contabilidad";"2"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Oferta de servicios a la comunidad";"0"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Participación de los estudiantes";"2"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Prevención de riesgos psicosociales";"2"
"";"";"";""
"GESTIÓN DIRECTIVA";"Clima Escolar";"Actividades Extracurriculares";"3"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Inducción a los Nuevos Estudiantes";"3"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manual de Convivencia";"1"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Reconocimiento de Logros";"1"
"GESTIÓN DIRECTIVA";"Direccionamiento estratégico y horizonte institucional";"Misión, visión y principios en el marco de una institución integrada";"0"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Estrategia pedagógica";"1"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo de Padres de Familia";"1"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Personero Estudiantil";"3"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Autoridades Educativas";"1"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Familias o Acudientes";"3"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Otras Instituciones";"3"
